"","filter_degrees","mape_values","ma_mape_values"
"133",133,42.8524596152047,52.4639523314214
"134",134,42.8438864940528,52.4479835223421
"135",135,42.8222044620402,52.4606491241437
"136",136,42.8213188603274,52.4424738214358
"137",137,42.8059165493463,52.4473731275397
"138",138,42.7977572086776,52.4392286552207
"139",139,42.7856090213845,52.43583369608
"140",140,42.7731838476834,52.4366899887449
"141",141,42.7607593840572,52.432030675157
"142",142,42.7500585943679,52.4280895908965
"143",143,42.739111561602,52.4205847337264
"144",144,42.7279055947494,52.414179414056
"145",145,42.7164230404307,52.3749457090964
"146",146,42.7046788896821,52.4037688285986
"147",147,42.6926424473375,52.398635216114
"148",148,42.6803142265451,52.3937391179589
"149",149,42.6676683456225,52.3814761001271
"150",150,42.6547102569778,52.3788924428451
"151",151,42.641413702291,52.413619559561
"152",152,42.6306214423891,52.3791638296507
"153",153,42.619672201283,52.4181160937738
"154",154,42.608424843562,52.4152987096051
"155",155,42.5968719287718,52.411369745454
"156",156,42.5849946523241,52.405795571775
"157",157,42.5727831116821,52.4017637884122
"158",158,42.5559767336283,52.3430201696675
"159",159,42.5472903111586,52.2241376488124
"160",160,42.5373954130207,52.3841332319062
"161",161,42.5236294739099,52.3740083346333
"162",162,42.5174360631821,52.3663511550437
"163",163,42.5069876600943,52.3545130154387
"164",164,42.4962068437718,52.3898472086041
"165",165,42.4850732711363,52.3400093403704
"166",166,42.4772017654365,52.3378947397131
"167",167,42.474873280813,52.3741535550841
"168",168,42.4724650228385,52.4005598975442
"169",169,42.4699712542062,52.340930146262
"170",170,42.467387814686,52.3319102163365
"171",171,42.4648648908851,52.3890540020533
"172",172,42.4678902182995,52.3242969064006
"173",173,42.4710323205056,52.3170668038166
"174",174,42.4742987693554,52.2987026487743
"175",175,42.4776976411809,52.2941006988914
"176",176,42.4966819306777,52.2954616394085
"177",177,42.5291904033671,52.2612776556532
"178",178,42.5631291839906,52.2857684491084
"179",179,42.5985988466987,52.2857882877099
"180",180,42.6357187320711,52.2682518629923
"181",181,42.6746213767444,52.2781199545898
"182",182,42.7154487052723,52.3809269233555
"183",183,42.7639055951184,52.2783855516364
"184",184,42.8194595125642,52.2706788115993
"185",185,42.8780580785457,52.2594924303548
"186",186,42.9493106547473,52.2810352433368
"187",187,43.0273594359969,52.2815404451886
"188",188,43.1155406419442,52.3147253224013
"189",189,43.2180175015954,52.291004656455
"190",190,43.3273347628008,52.3588483319843
"191",191,43.4442604225039,52.2783745774443
"192",192,43.5866996581645,52.2559352623774
"193",193,43.7606426937102,52.2765498527739
"194",194,43.9840774075752,52.3112068994288
"195",195,44.2414009729043,52.2778261429563
"196",196,44.5343216288208,52.2233287211813
"197",197,44.8670505515824,52.2138170875976
"198",198,45.1924952245903,52.3126625700265
"199",199,45.4250211020678,52.6287608104924
"200",200,44.9446187364018,53.0788959949981
